Date,Open,High,Low,Close,Volume
12-06-2023,3215,3254.399902,3211,3246.899902,2324605
13-06-2023,3260,3265,3239,3243.699951,1371928
14-06-2023,3243.699951,3255.850098,3225.850098,3251.050049,1658544
15-06-2023,3245.300049,3247.449951,3210,3216.300049,2273810
16-06-2023,3197,3199.399902,3156,3174.899902,4156189
19-06-2023,3190,3214.899902,3175,3210.399902,1468186
20-06-2023,3214,3232.5,3201.050049,3227.699951,1528452
21-06-2023,3250,3261.399902,3223.949951,3258.199951,1645987
22-06-2023,3260,3267.649902,3230.100098,3238.5,1529603
23-06-2023,3237.300049,3249.399902,3209.149902,3216.350098,1119505
26-06-2023,3205,3213.899902,3173,3189.649902,1978803
27-06-2023,3202,3209.649902,3182.300049,3197.350098,863542
28-06-2023,3208,3230.949951,3193.399902,3215.449951,1575872
30-06-2023,3220,3310,3214.100098,3302.25,2672406
03-07-2023,3314.300049,3318.800049,3268.75,3272.300049,1687264
04-07-2023,3290,3315,3277.300049,3308.850098,1656681
05-07-2023,3320,3329,3305,3319.949951,1453008
06-07-2023,3306.550049,3328.449951,3302,3322.899902,1848238
07-07-2023,3302,3356.899902,3302,3329.25,1789326
10-07-2023,3324.75,3324.75,3265.199951,3271.949951,1407431
11-07-2023,3295,3295,3260.800049,3272.399902,1110172
12-07-2023,3280.949951,3289.149902,3250.100098,3259.899902,1515240
13-07-2023,3284,3367.449951,3272.75,3340.550049,4585146
14-07-2023,3365,3524.850098,3352,3514.649902,6306101
17-07-2023,3510,3549.899902,3477.050049,3491.699951,2743228
18-07-2023,3476,3524,3465,3496.850098,2600090
19-07-2023,3500,3516.850098,3445.649902,3470.050049,2405370
20-07-2023,3453.100098,3478.899902,3436.050049,3463.300049,1715404
21-07-2023,3404.050049,3434.899902,3359.050049,3368.300049,3770223
24-07-2023,3381,3413.449951,3372.100098,3394.75,1680132
25-07-2023,3397.5,3406.800049,3380.199951,3399.149902,1272980
26-07-2023,3400.350098,3420.850098,3385,3388.300049,1066803
27-07-2023,3394.949951,3411.649902,3385.050049,3396.899902,1701769
28-07-2023,3385,3393.699951,3331,3355.399902,2599831
31-07-2023,3364.399902,3426.649902,3360.899902,3421.449951,2743678
01-08-2023,3415,3460,3415,3452.050049,1956167
02-08-2023,3434.949951,3446.399902,3413.600098,3440.649902,1914899
03-08-2023,3420,3433.25,3368,3399.949951,2026351
04-08-2023,3401.25,3471,3401.25,3443.550049,2248493
07-08-2023,3453.949951,3488,3441.25,3484.050049,1853889
08-08-2023,3484.050049,3489.949951,3456.600098,3470.600098,1634225
09-08-2023,3464.899902,3467,3425.050049,3462.5,1794589
10-08-2023,3450,3464.899902,3430.050049,3442.100098,1096701
11-08-2023,3438.100098,3466.649902,3414,3448.800049,1679974
14-08-2023,3440.699951,3455,3411,3449.850098,1190425
16-08-2023,3450,3466,3435.199951,3458.399902,1328445
17-08-2023,3455,3460.800049,3413.199951,3435.75,1843241
18-08-2023,3410,3410,3356.5,3367.100098,2526749
21-08-2023,3375,3409.75,3372,3401.649902,1375579
22-08-2023,3400,3411,3365.050049,3382.149902,1222012
23-08-2023,3388,3402,3376,3398.25,1330046
24-08-2023,3408,3413.050049,3378.100098,3387.75,1152881
25-08-2023,3375,3385.800049,3350.25,3381.300049,1158046
28-08-2023,3394,3394,3360.100098,3375.550049,1037485
29-08-2023,3381.050049,3389.550049,3365,3376.149902,944517
30-08-2023,3398,3408.100098,3383.050049,3390.949951,1188200
31-08-2023,3401,3417.399902,3343.649902,3356.800049,3417652
01-09-2023,3366,3389,3356.800049,3379.199951,1277950
04-09-2023,3378,3432.850098,3370.050049,3418.5,1828332
05-09-2023,3420,3447,3405.149902,3429.350098,1501842
06-09-2023,3434,3443.899902,3398.100098,3429.899902,1314818
07-09-2023,3430.800049,3460,3422.300049,3455.25,1885092
08-09-2023,3455.25,3465,3435.050049,3441.899902,1518917
11-09-2023,3462,3485.699951,3445,3480.649902,1783604
12-09-2023,3492,3589.899902,3483,3580.800049,4476016
13-09-2023,3571.100098,3588.850098,3545,3567.850098,1754929
14-09-2023,3570.050049,3597.699951,3545.600098,3560.050049,2604721
15-09-2023,3567.850098,3607.350098,3562.449951,3598.300049,2952897
18-09-2023,3580.050049,3619.300049,3575.25,3606.149902,1395753
20-09-2023,3580,3625,3580,3606.050049,1649396
21-09-2023,3588.550049,3605,3528,3585.300049,2004073
22-09-2023,3584,3633.75,3565.050049,3603.649902,1989083
25-09-2023,3602.5,3620,3558.649902,3577.149902,1238778
26-09-2023,3567.600098,3594.949951,3536,3585.699951,1726062
27-09-2023,3590,3614,3555.699951,3589.300049,1541134
28-09-2023,3600,3602.800049,3527.350098,3536.75,1755753
29-09-2023,3537.199951,3568.449951,3505.550049,3528.600098,2243791
03-10-2023,3534.199951,3534.199951,3480.100098,3513.850098,1948148
04-10-2023,3486.300049,3548,3477.300049,3537.75,1788138
05-10-2023,3554,3624,3551.199951,3589.350098,2990768
06-10-2023,3591,3634.949951,3575.050049,3621.399902,2075691
09-10-2023,3645.050049,3679,3631,3638.350098,4233074
10-10-2023,3640.050049,3648,3601.350098,3628.899902,1848148
11-10-2023,3650,3650,3605,3609.899902,2426417
12-10-2023,3575,3588.649902,3538.100098,3542.550049,4241281
13-10-2023,3530,3577,3525,3570.850098,2890357
16-10-2023,3566,3574.649902,3519.100098,3524.050049,1671104
17-10-2023,3530,3534.149902,3503.350098,3507.050049,1672065
18-10-2023,3511,3522.699951,3484,3487.25,1408245
19-10-2023,3469.5,3476.850098,3451.899902,3455.649902,1514545
20-10-2023,3450.399902,3499.5,3444.050049,3494.550049,1481211
23-10-2023,3473,3478.949951,3401.300049,3410.149902,1106272
25-10-2023,3390.5,3425,3377.199951,3390.100098,1518537
26-10-2023,3368.050049,3373.699951,3330,3336.75,1984471
27-10-2023,3350,3362,3337,3350.949951,1108851
30-10-2023,3350,3382.850098,3333.75,3378.550049,910972
